id,author,length,created_at,like_count,retweet_count,full_text,source
1274316998412025857,BreitbartNews,214,2020-06-20 12:23:42,5571,4583,An anti-deportation group affiliated with leftist billionaire George Soros’s Open Society Foundation is one of the groups behind the “defund the police” movement taking place across America. https://t.co/7mLUJYMshy,SocialFlow
1274311775396278273,BreitbartNews,188,2020-06-20 12:02:57,61,22,A TV channel in Bolivia sparked widespread outrage on Thursday after broadcasting a Chinese coronavirus patient dying as doctors desperately tried to save his life. https://t.co/VhPq7kpDbG,SocialFlow
1274306571896528897,BreitbartNews,193,2020-06-20 11:42:16,3891,3940,"Black Lives Matter Global Network co-founder Patrisse Cullors said President Donald Trump should resign from office immediately and said, “our goal is to get Trump out.” https://t.co/RZLqauqve7",SocialFlow
1274301356967374848,BreitbartNews,42,2020-06-20 11:21:33,195,77,Gone with the Woke https://t.co/lImhLj8yjY,SocialFlow
1274296287417053184,BreitbartNews,91,2020-06-20 11:01:24,366,195,AOC says it is now time to study proposals for issuing reparations. https://t.co/0NlOIjdLSa,SocialFlow
1274221859307995136,BreitbartNews,40,2020-06-20 06:05:39,6131,2649,That had to hurt https://t.co/TZkCQnH79Y,Twitter for iPhone
1274187023147024384,BreitbartNews,180,2020-06-20 03:47:14,357,242,A Michigan movie theater company organized a Juneteenth Film Festival and the Democrat attorney general threatened to “criminally prosecute” the organizers. https://t.co/4us27CluBE,SocialFlow
1274181917093625856,BreitbartNews,199,2020-06-20 03:26:56,108,62,Former First Lady Michelle Obama commemorated Juneteenth on Friday with a statement suggesting that those who have protested — in the past and present — have “led us forward.” https://t.co/jJkt1E0PmU,SocialFlow
1274176226278682631,BreitbartNews,43,2020-06-20 03:04:20,1043,281,Of course they are. https://t.co/LqgGCnezOd,SocialFlow
1274170682671316994,BreitbartNews,42,2020-06-20 02:42:18,2005,739,This ad is brutal. https://t.co/lZvUAdK7sR,SocialFlow
1274165175315238913,BreitbartNews,52,2020-06-20 02:20:25,240,48,Congrats Dathan Wickson Jr.! https://t.co/xE4ud1JMIC,SocialFlow
1274160033983578113,BreitbartNews,169,2020-06-20 01:59:59,56,34,"The owners of Calhoun Square shopping center in Minneapolis, Minnesota, have decided to change its name in the aftermath of George Floyd’s death. https://t.co/pQbnBY5f1T",SocialFlow
1274154433300004864,BreitbartNews,94,2020-06-20 01:37:44,176,72,Former Colorado Gov. John Hickenlooper (D) is having a very bad month. https://t.co/bN2BZC7P3D,SocialFlow
1274152421758046208,BreitbartNews,140,2020-06-20 01:29:44,0,160,"RT @AlexMarlow: Today CHAZ/CHOP is having a Black Only Juneteeth event and white people are asked to protect its “borders.”

Rev. Dr. Marti…",Twitter for iPhone
1274148896047013889,BreitbartNews,201,2020-06-20 01:15:44,9150,2567,Joe Rogan said left-wing media have “completely ignored” Joe Biden’s repeated verbal screw-ups and that the presumptive Democrat nominee is showing signs of “cognitive decline.” https://t.co/oeSoMc1fkG,SocialFlow
1274145383900426240,BreitbartNews,36,2020-06-20 01:01:46,842,280,This is CNN. https://t.co/kri44hHD9g,SocialFlow
1274140132229156864,BreitbartNews,160,2020-06-20 00:40:54,452,316,"Twitter and Facebook have now taken down a meme video posted to each platform by President Donald Trump, following copyright complaints. https://t.co/qmydUQBjOl",SocialFlow
1274138958482587649,BreitbartNews,120,2020-06-20 00:36:14,0,158,RT @AWRHawkins: Hawkins: National Reciprocity Needed Amid Nationwide Riots ⁦@BreitbartNews⁩ #2A  https://t.co/S12ZJXLXPg,Twitter for iPhone
1274135011353079813,BreitbartNews,178,2020-06-20 00:20:33,100,37,"The Washington Redskins haven’t changed their nickname yet, as the left wants them to do. Though, they have parted with one symbol due to its racist ties. https://t.co/jxw6nh6EIU",SocialFlow
1274125659623821319,BreitbartNews,152,2020-06-19 23:43:24,3929,1565,A black preacher confronted BLM protesters saying that Planned Parenthood that is the number one killer of the black community.  https://t.co/jmrZAjMsk1,SocialFlow
1274122059883347969,BreitbartNews,120,2020-06-19 23:29:05,0,377,"RT @AlexMarlow: Isn’t it interesting how it’s always Democrats getting in trouble for blackface?
https://t.co/IjLHMRWlQu",Twitter for iPhone
